Name,Rating,Episodes,Genre,StartDate,EndDate,Studio,Synopsis,SourceMaterial,AgeRating
Memories of the Future,8.8,26,Drama/Sci-Fi,10/13/2019,4/5/2020,Tomorrow's Echoes,A person with fragmented memories of the future tries to piece together what's to come.,Original,PG
Starbound Sentinels: Dawn,8,24,Sci-Fi/Action,1/18/2022,7/5/2022,Cosmic Dawn,"The origin story of the elite Starbound Sentinels, protectors of the galaxy.",Original,PG-13
The Dessert Kingdom,7.4,12,Comedy/Food,1/15/2023,Ongoing,Candy Kingdom Animation,"A whimsical kingdom where everything is made of desserts, and chaos ensues.",Original,G
Temporal Rift Hunters,7.6,13,Sci-Fi/Action,7/17/2021,10/9/2021,Rift Hunters Agency,A specialized team hunts down and closes dangerous temporal rifts.,Original,PG-13
Beast Hunter's Legacy,8.5,36,Fantasy/Action,7/12/2020,4/4/2021,Legacy Hunters Studio,A young hunter inherits a legendary legacy and faces formidable beasts.,Manga,PG-13
Melody of the City,8.2,12,Romance/Music,4/17/2022,7/3/2022,Urban Rhythms,Two musicians from different walks of life find love amidst the bustling city.,Original,G
The Ancient Library,8.7,24,Mystery/Fantasy,4/14/2023,Ongoing,Forbidden Books Studio,A hidden library containing ancient knowledge and dangerous secrets.,Original,PG-13
Steel Vanguard,7.9,26,Action/Mecha,10/16/2021,4/8/2022,Vanguard Mechworks,A cutting-edge military unit equipped with advanced mechs for frontline combat.,Original,PG-13
Magical Cafe,7,12,Slice of Life/Comedy,7/16/2023,Ongoing,Enchanted Brews Studio,A charming cafe where the drinks and food have magical effects.,Original,G
The Lost Prophecy,8.6,50,Fantasy/Adventure,1/26/2019,12/21/2019,Prophecy Seeker Films,A group of adventurers seeks to uncover a lost prophecy that could change the world.,Original,PG
Shadows of the Abyss,8.1,13,Horror/Mystery,10/14/2022,1/6/2023,Abyssal Dread,A team of deep-sea explorers encounters terrifying creatures and secrets in the abyss.,Original,R
Table Tennis Titans,7.5,39,Sports/Comedy,1/15/2021,10/8/2021,Ping Pong Power,A high school table tennis team aims for the national championship.,Manga,G
The Dreamscape Cafe,8.3,12,Slice of Life/Supernatural,1/19/2023,Ongoing,Dreamland Cafe,A cafe where customers can experience their dreams come to life.,Original,PG
Dragon's Heart Saga,9,75,Fantasy/Drama,7/13/2018,3/27/2020,Heart of Dragon Studio,A powerful saga centered around a legendary dragon's heart and its influence.,Original,PG-13
Galactic Explorers,7.8,24,Sci-Fi/Adventure,4/15/2022,9/30/2022,Starfarer Expeditions,A team of explorers ventures into the unknown regions of the galaxy.,Original,PG
The Noodle Shop Chronicles,7.2,12,Comedy/Food,4/13/2023,Ongoing,Noodle Nirvana,The daily antics and delicious creations at a bustling noodle shop.,Original,G
Mysteries of the Sunken Ship,8.4,26,Mystery/Adventure,10/11/2020,4/4/2021,Wreckage Films,A team of divers investigates a mysterious sunken ship with a dark past.,Original,PG-13
Street Beats,7.7,12,Music/Slice of Life,7/16/2022,2022-09-31,City Rhythms,Follows the lives of various street performers and their struggles.,Original,PG
The Ancient Scroll,8.6,24,Mystery/Thriller,10/14/2023,Ongoing,Scroll of Secrets,A historian discovers an ancient scroll that reveals a hidden conspiracy.,Original,PG-13
Mech Force Alpha,8,48,Action/Mecha,4/11/2019,4/3/2020,Alpha Mech Division,"The first and most elite mech force, designed for critical missions.",Original,PG-13
The Gourmet Academy,7.6,25,Comedy/Food,1/17/2022,7/11/2022,Culinary Arts Academy,Students at a prestigious culinary academy compete and learn.,Original,G
The Wishing Well,7,12,Slice of Life/Fantasy,7/15/2023,Ongoing,Wishing Waters Studio,"A magical well where wishes come true, sometimes with unexpected results.",Original,G
Cosmic Wanderers,8.9,100,Sci-Fi/Space Opera,4/16/2017,4/7/2019,Star Drifters,A nomadic group of spacefarers searches for a new home after their planet's destruction.,Original,PG
Blade of the Phoenix,8.2,39,Action/Fantasy,7/13/2021,4/12/2022,Phoenix Blade Studio,A warrior wields a legendary blade said to possess the power of a phoenix.,Original,PG-13
The Nightmare Ward,7.9,13,Supernatural/Horror,1/13/2022,4/7/2022,Asylum Dreams,Patients in a psychiatric ward experience terrifying collective nightmares.,Original,R
Gymnastics Glory,7.3,24,Sports/Drama,4/14/2020,9/29/2020,Balance Beam Animation,Young gymnasts train rigorously to achieve their dreams of Olympic glory.,Manga,G
Crimson Bloodline,8.4,24,Action/Supernatural,10/19/2022,4/5/2023,Bloodline Studio,A descendant of an ancient vampire clan fights against rogue vampires.,Original,R
The Magical Bookstore,7.1,12,Slice of Life/Fantasy,4/12/2023,Ongoing,Enchanted Books Studio,A hidden bookstore where the books come alive and share their stories.,Original,PG
Virtual Reality World,7.5,50,Adventure/Game,1/18/2021,1/3/2022,World VR Studios,Players are immersed in a vast virtual reality world with endless possibilities.,Original,PG-13
Memories of the Past Life,8.8,26,Drama/Supernatural,10/15/2019,4/7/2020,Past Life Echoes,"A person begins to recall memories from their past lives, impacting their present.",Original,PG
Starbound Guardians: Legacy,8,24,Sci-Fi/Action,1/20/2022,7/7/2022,Cosmic Legacy,The next generation of Starbound Guardians takes up the mantle to protect the galaxy.,Original,PG-13
The Cupcake Chronicles,7.4,12,Comedy/Food,1/17/2023,Ongoing,Cupcake Kingdom,The sweet and sometimes chaotic adventures of a family-run cupcake shop.,Original,G
Temporal Agents,7.6,13,Sci-Fi/Mystery,7/19/2021,10/11/2021,Timekeepers Agency,A secret organization of agents who prevent paradoxes and maintain the timeline.,Original,PG-13
Beast Master's Quest,8.5,36,Fantasy/Adventure,7/14/2020,4/6/2021,Creature Quest Studio,A young beast master embarks on a grand quest to find legendary creatures.,Manga,PG
Melody of the Stars: Rebirth,8.2,12,Romance/Music,4/19/2022,7/5/2022,Cosmic Harmony Reborn,"A continuation of the story, exploring new challenges and deeper connections through music.",Original,G
The Ancient Temple,8.7,24,Mystery/Adventure,4/16/2023,Ongoing,Lost Temple Studio,Archaeologists uncover a mysterious ancient temple with hidden dangers.,Original,PG-13
Steel Sentinels: Uprising,7.9,26,Action/Mecha,10/18/2021,4/10/2022,Sentinel Uprising,A new threat forces the Steel Sentinels to rise up and defend their city.,Original,PG-13
Magical Pet Cafe,7,12,Slice of Life/Comedy,7/18/2023,Ongoing,Furry Friends Cafe,A cafe where customers can interact with magical pets while enjoying their drinks.,Original,G
The Lost City of Gold,8.6,50,Fantasy/Adventure,1/28/2019,12/23/2019,El Dorado Films,"Explorers search for the legendary lost city of gold, facing dangerous traps.",Original,PG
Shadows of the Forgotten,8.1,13,Horror/Mystery,10/16/2022,1/8/2023,Forgotten Souls,A group investigates a series of disappearances linked to a forgotten tragedy.,Original,R
Archery Aces,7.5,39,Sports/Drama,1/17/2021,10/10/2021,Bullseye Animation,A high school archery team aims for the national championship.,Manga,G
The Cafe of Second Chances,8.3,12,Slice of Life/Drama,1/21/2023,Ongoing,New Beginnings Cafe,A cafe where people find unexpected opportunities for a fresh start.,Original,PG
Dragon's Reign,9,75,Fantasy/Action,7/15/2018,3/29/2020,Dragon Sovereign Studio,A powerful dragon king seeks to reclaim his ancient dominion over the world.,Original,PG-13
Galactic Bounty Hunters,7.8,24,Sci-Fi/Action,4/17/2022,10/2/2022,Bounty Hunter Guild,A team of skilled bounty hunters tracks down dangerous criminals across the galaxy.,Original,PG-13
The Burger Joint,7.2,12,Comedy/Food,4/15/2023,Ongoing,Patty Palace,The hilarious daily operations of a bustling burger joint.,Original,G
Mysteries of the Abandoned Hospital,8.4,26,Mystery/Horror,10/13/2020,4/6/2021,Asylum Films,A group of urban explorers ventures into a notoriously abandoned and haunted hospital.,Original,R
Street Dance Battle,7.7,12,Music/Action,7/18/2022,10/3/2022,Dance Off Studios,Rival street dance crews battle it out for supremacy and bragging rights.,Original,PG
The Ancient Prophecy: Reborn,8.6,24,Mystery/Thriller,10/16/2023,Ongoing,Reborn Prophecy Studio,A new generation uncovers and attempts to decipher an ancient prophecy.,Original,PG-13
Mech Force Delta,8,48,Action/Mecha,4/13/2019,4/5/2020,Delta Mech Division,A specialized mech unit known for its adaptability and diverse combat roles.,Original,PG-13
The Dessert Competition,7.6,25,Comedy/Food,1/19/2022,7/13/2022,Sweet Showdown,Amateur and professional bakers compete in a high-stakes dessert competition.,Original,G
The Magical School Bus,7,12,Slice of Life/Fantasy,7/17/2023,Ongoing,Magic Wheels Studio,A magical school bus takes students on extraordinary field trips.,Original,G
Cosmic Nomads,8.9,100,Sci-Fi/Adventure,4/18/2017,4/9/2019,Stellar Nomads,A group of cosmic nomads travels the galaxy in search of new experiences.,Original,PG
Blade of the Dragon,8.2,39,Action/Fantasy,7/15/2021,4/14/2022,Dragon Blade Forge,A warrior wields a legendary blade forged from a dragon's scale.,Original,PG-13
The Nightmare Detective: Case Files,7.9,13,Supernatural/Mystery,1/15/2022,4/9/2022,Dream Weaver Investigations,"A series of new cases for the Nightmare Detective, delving deeper into the human psyche.",Original,R
Track & Field Champions,7.3,24,Sports/Drama,4/16/2020,10/1/2020,Sprint Stars Animation,Young athletes train to become champions in various track and field events.,Manga,G
Crimson Moon Cult,8.4,24,Action/Horror,10/21/2022,4/7/2023,Moonlit Cult Studio,"A secret cult worships a crimson moon, performing dark rituals.",Original,R
The Whispering Woods Cafe,7.1,12,Slice of Life/Fantasy,4/14/2023,Ongoing,Forest Brews Cafe,A cozy cafe nestled deep within a magical whispering woods.,Original,G
Virtual Reality Legends,7.5,50,Adventure/Game,1/20/2021,1/5/2022,Legendary VR Studios,Players strive to become legends within a vast and dangerous virtual reality world.,Original,PG-13
Memories of the Lost World,8.8,26,Drama/Fantasy,10/17/2019,4/9/2020,Lost World Echoes,"A person discovers they have memories of a forgotten, magical world.",Original,PG
Starbound Sentinels: Frontier,8,24,Sci-Fi/Action,1/22/2022,7/9/2022,Cosmic Frontier Guard,The Starbound Sentinels expand their operations to the far reaches of the galaxy.,Original,PG-13
The Ice Cream Parlor,7.4,12,Comedy/Food,1/19/2023,Ongoing,Scoop Dreams,The sweet and chaotic daily operations of a family-run ice cream parlor.,Original,G
Temporal Watchers,7.6,13,Sci-Fi/Mystery,7/21/2021,10/13/2021,Chronos Watchers,A secret society of individuals who observe and subtly influence the timeline.,Original,PG-13
Beast Master's Academy,8.5,36,Fantasy/School,7/16/2020,4/8/2021,Creature Tamer Academy,Students learn to bond with and train magical beasts at a special academy.,Manga,PG
Melody of the Cosmos,8.2,12,Romance/Music,4/21/2022,7/7/2022,Cosmic Rhythms,A celestial being and a human find love through the universal language of music.,Original,G
The Ancient Relic,8.7,24,Mystery/Adventure,4/18/2023,Ongoing,Relic Hunter Studio,A team of relic hunters searches for a powerful and dangerous ancient artifact.,Original,PG-13
Steel Sentinels: Genesis,7.9,26,Action/Mecha,10/20/2021,4/12/2022,Sentinel Origins,The origin story of the first Steel Sentinels and their creation.,Original,PG-13
Magical Toy Store,7,12,Slice of Life/Fantasy,7/19/2023,Ongoing,Enchanted Playthings Studio,A toy store where the toys come to life and have adventures after hours.,Original,G
The Lost Civilization,8.6,50,Fantasy/Adventure,1/30/2019,12/25/2019,Forgotten Civilizations Films,Explorers discover a technologically advanced lost civilization.,Original,PG
Shadows of the Past: Reborn,8.1,13,Horror/Drama,10/18/2022,1/10/2023,Haunted Memories Reborn,"A continuation of the story, as new residents face the lingering spirits of the past.",Original,R
Karate Kids,7.5,39,Sports/Comedy,1/19/2021,10/12/2021,Dojo Stars,Young karate students train to become masters and win tournaments.,Manga,G
The Dream Cafe,8.3,12,Slice of Life/Supernatural,1/23/2023,Ongoing,Dreamscape Cafe,A cafe where customers can experience vivid and sometimes prophetic dreams.,Original,PG
Dragon's Legacy,9,75,Fantasy/Drama,7/17/2018,3/31/2020,Dragon Heir Studio,A young heir discovers his connection to an ancient dragon lineage.,Original,PG-13
Galactic Peacekeepers: Frontier,7.8,24,Sci-Fi/Action,4/19/2022,10/4/2022,Peacekeeper Frontier,The Galactic Peacekeepers extend their reach to the untamed frontiers of space.,Original,PG-13
The Donut King,7.2,12,Comedy/Food,4/17/2023,Ongoing,Donut Dynasty,A young baker aims to become the greatest donut maker in the world.,Original,G
Mysteries of the Haunted Lighthouse,8.4,26,Mystery/Horror,10/15/2020,4/8/2021,Lighthouse Dread,A group of paranormal investigators explores a remote and haunted lighthouse.,Original,PG-13
Street Art Gallery,7.7,12,Music/Slice of Life,7/20/2022,10/5/2022,Canvas & Sound,Follows a group of street artists who create a public art gallery.,Original,PG
The Ancient Prophecy: Unveiled,8.6,24,Mystery/Thriller,10/18/2023,Ongoing,Unveiled Prophecy Studio,"The true meaning of the ancient prophecy is finally revealed, with dire consequences.",Original,PG-13
Mech Force Gamma,8,48,Action/Mecha,4/15/2019,4/7/2020,Gamma Mech Division,A specialized mech unit known for its stealth and reconnaissance capabilities.,Original,PG-13
The Culinary Journey,7.6,25,Comedy/Food,1/21/2022,7/15/2022,Flavorful Expeditions,"A chef embarks on a culinary journey around the world, discovering new dishes.",Original,G
The Enchanted Forest School,7,12,Slice of Life/Fantasy,7/19/2023,Ongoing,Forest Learning Studio,"A school hidden deep within an enchanted forest, teaching magical arts.",Original,G
Cosmic Guardians,8.9,100,Sci-Fi/Space Opera,4/20/2017,4/11/2019,Star Guardians,A powerful organization dedicated to protecting the cosmos from all threats.,Original,PG
Blade of the Sky,8.2,39,Action/Fantasy,7/17/2021,4/16/2022,Skyborne Blade Studio,A warrior who can manipulate the sky and weather fights for justice.,Original,PG-13
The Nightmare World,7.9,13,Supernatural/Horror,1/17/2022,4/11/2022,World of Nightmares,A group of people are trapped in a world made of their worst fears.,Original,R
Swimming Stars,7.3,24,Sports/Drama,4/18/2020,10/3/2020,Aqua Champions Animation,Young swimmers train to become champions and compete in major events.,Manga,G
Crimson Prophecy: The Awakening,8.4,24,Action/Supernatural,10/23/2022,4/9/2023,Prophecy Awakening Studio,The chosen hero fully awakens their powers to confront the looming threat.,Original,PG-13
The Magical Library,7.1,12,Slice of Life/Fantasy,4/16/2023,Ongoing,Enchanted Scrolls Studio,A library where the books come alive and stories unfold before your eyes.,Original,PG
Virtual Reality Arena,7.5,50,Adventure/Game,1/22/2021,1/7/2022,Arena VR Studios,"Players compete in a virtual reality arena, battling for glory and survival.",Original,PG-13
Memories of the Future: Unwritten,8.8,26,Drama/Sci-Fi,10/19/2019,4/11/2020,Unwritten Future,"A person with future memories tries to change events, but fate has other plans.",Original,PG
Starbound Sentinels: Beyond,8,24,Sci-Fi/Action,1/24/2022,7/11/2022,Cosmic Beyond,The Starbound Sentinels venture into unknown galaxies to protect new civilizations.,Original,PG-13
The Pancake House,7.4,12,Comedy/Food,1/21/2023,Ongoing,Flapjack Fun,The delightful and sometimes chaotic daily operations of a popular pancake house.,Original,G
Temporal Nexus,7.6,13,Sci-Fi/Thriller,7/23/2021,10/15/2021,Nexus Time,"A mysterious temporal nexus allows travel to different points in time, with risks.",Original,PG-13
Beast Master's Legacy: New Generation,8.5,36,Fantasy/Adventure,7/18/2020,4/10/2021,Legacy Beast Tamers,A new generation of beast masters takes up the mantle to protect the world.,Manga,PG
Melody of the Stars: Finale,8.2,12,Romance/Music,4/23/2022,7/9/2022,Cosmic Harmony Finale,"The final chapter of the love story, culminating in a grand musical performance.",Original,G
The Ancient Prophecies,8.7,24,Mystery/Fantasy,4/20/2023,Ongoing,Prophecy Uncovered Studio,A group of scholars uncovers ancient prophecies that foretell a coming cataclysm.,Original,PG-13
Steel Sentinels: Final Stand,7.9,26,Action/Mecha,10/22/2021,4/14/2022,Sentinel Final Stand,The Steel Sentinels make their final stand against an overwhelming enemy force.,Original,PG-13
Magical Tea Party,7,12,Slice of Life/Fantasy,7/21/2023,Ongoing,Tea Time Magic Studio,A magical tea party where guests experience enchanting moments and delicious treats.,Original,G
The Lost Continent,8.6,50,Fantasy/Adventure,2/1/2019,12/27/2019,Lost Lands Films,Explorers discover a hidden continent filled with ancient ruins and mythical creatures.,Original,PG
Shadows of the City: Nightfall,8.1,13,Horror/Thriller,10/20/2022,1/12/2023,Nightfall Dread,"The dark secrets of the city are further revealed as night falls, bringing new horrors.",Original,R
Boxing Ring Dreams,7.5,39,Sports/Drama,1/21/2021,10/14/2021,Punch Out Animation,Young boxers train to become champions and achieve their dreams in the ring.,Manga,G
The Dream Weaver's Sanctuary,8.3,12,Slice of Life/Supernatural,1/25/2023,Ongoing,Dream Sanctuary,A hidden sanctuary where a dream weaver helps people find peace through their dreams.,Original,PG
Dragon's Fury: Unleashed,9,75,Action/Fantasy,7/19/2018,4/2/2020,Unleashed Dragon Studios,"The dragon's power is fully unleashed, leading to a devastating battle.",Original,PG-13
Galactic Peacekeepers: Legacy,7.8,24,Sci-Fi/Action,4/21/2022,10/6/2022,Peacekeeper Legacy,The legacy of the Galactic Peacekeepers continues with a new generation of heroes.,Original,PG-13
The Waffle House,7.2,12,Comedy/Food,4/19/2023,Ongoing,Crispy Waffles,The quirky and delicious daily operations of a popular waffle house.,Original,G
Mysteries of the Haunted School,8.4,26,Mystery/Horror,10/17/2020,4/10/2021,Schoolyard Dread,A group of students investigates strange occurrences in their supposedly haunted school.,Original,PG-13
Street Symphony: Encore,7.7,12,Music/Drama,7/22/2022,10/7/2022,Encore Rhythms,"A continuation of the story, as the street musicians face new challenges and opportunities.",Original,PG
The Ancient Code: Deciphered,8.6,24,Mystery/Thriller,10/20/2023,Ongoing,Deciphered Code Studio,"The ancient code is finally deciphered, revealing shocking truths about the past.",Original,PG-13
Mech Force Omega,8,48,Action/Mecha,4/17/2019,4/9/2020,Omega Mech Division,"The ultimate mech force, deployed only in the most dire situations.",Original,PG-13
The Culinary Adventures,7.6,25,Comedy/Food,1/23/2022,7/17/2022,Gourmet Expeditions,"A chef embarks on a series of culinary adventures, discovering new flavors and cultures.",Original,G
The Enchanted Forest,7,12,Slice of Life/Fantasy,7/20/2023,Ongoing,Mystical Woods Studio,A young person discovers a hidden enchanted forest filled with magical creatures.,Original,G
Cosmic Journeys,8.9,100,Sci-Fi/Adventure,4/22/2017,4/13/2019,Star Journeys,A group of diverse individuals embarks on a grand journey through the cosmos.,Original,PG
Blade of the Stars,8.2,39,Action/Fantasy,7/19/2021,4/18/2022,Starlight Blade Studio,A warrior wields a sword imbued with the power of the stars.,Original,PG-13
The Nightmare Chronicles,7.9,13,Supernatural/Horror,1/19/2022,4/13/2022,Chronicles of Dread,A series of disturbing nightmares begin to manifest in reality.,Original,R
Cycling Champions,7.3,24,Sports/Drama,4/20/2020,10/5/2020,Pedal Power Animation,Young cyclists train to become champions and compete in challenging races.,Manga,G
Crimson Prophecy: The Reckoning,8.4,24,Action/Supernatural,10/25/2022,4/11/2023,Prophecy Reckoning Studio,The final confrontation between the chosen hero and the ancient evil.,Original,PG-13
The Magical Art Studio,7.1,12,Slice of Life/Fantasy,4/18/2023,Ongoing,Enchanted Canvas Studio,An art studio where paintings come to life and have magical properties.,Original,PG
Virtual Reality Dreamers,7.5,50,Adventure/Game,1/24/2021,1/9/2022,Dreamer VR Studios,"Players explore a fantastical virtual reality world, where dreams become reality.",Original,PG-13
Memories of the Future: Destiny,8.8,26,Drama/Sci-Fi,10/21/2019,4/13/2020,Destiny's Echoes,The final struggle to alter or accept the inevitable future.,Original,PG
Starbound Sentinels: Unity,8,24,Sci-Fi/Action,1/26/2022,7/13/2022,Cosmic Unity,All Starbound Sentinels unite to face a galaxy-threatening force.,Original,PG-13
The Smoothie Bar,7.4,12,Comedy/Food,1/23/2023,Ongoing,Blended Bliss,The vibrant and healthy daily operations of a popular smoothie bar.,Original,G
Temporal Paradox Agency: Resurgence,7.6,13,Sci-Fi/Mystery,7/25/2021,10/17/2021,Continuum Resurgence,The Temporal Paradox Agency faces a new wave of complex time anomalies.,Original,PG-13
Beast Master's Journey: The Legend,8.5,36,Fantasy/Adventure,7/20/2020,4/12/2021,Legendary Beast Tamers,The beast master's journey culminates in a legendary confrontation.,Manga,PG
Melody of the Cosmos: Harmony,8.2,12,Romance/Music,4/25/2022,7/11/2022,Cosmic Harmony Unified,The celestial and human realms find harmony through their shared love of music.,Original,G
The Ancient Prophecies: Fulfilled,8.7,24,Mystery/Fantasy,4/22/2023,Ongoing,Fulfilled Prophecy Studio,"The ancient prophecies are fulfilled, forever changing the world.",Original,PG-13
Steel Sentinels: New Era,7.9,26,Action/Mecha,10/24/2021,4/16/2022,Sentinel New Era,"A new era begins for the Steel Sentinels, with advanced technology and challenges.",Original,PG-13
Magical Book Cafe,7,12,Slice of Life/Fantasy,7/22/2023,Ongoing,Enchanted Pages Cafe,A cozy cafe where books come alive and share their stories with customers.,Original,G
The Lost City of Atlantis,8.6,50,Fantasy/Adventure,2/3/2019,12/29/2019,Atlantis Rediscovered Films,Explorers embark on a perilous journey to find the legendary lost city of Atlantis.,Original,PG
Shadows of the Forgotten: Echoes,8.1,13,Horror/Mystery,10/22/2022,1/14/2023,Echoes of the Forgotten,"The echoes of the past continue to haunt the present, revealing deeper secrets.",Original,R
Basketball Blitz: All-Stars,7.5,39,Sports/Comedy,1/23/2021,10/16/2021,All-Star Hoops,The high school basketball team competes in an all-star tournament.,Manga,G
The Dream Weaver's Legacy,8.3,12,Slice of Life/Supernatural,1/27/2023,Ongoing,Legacy Dreams Studio,"A new generation inherits the power of the dream weaver, continuing their work.",Original,PG
Dragon's Fury: Aftermath,9,75,Action/Drama,7/21/2018,4/4/2020,Aftermath Dragon Studios,The world deals with the aftermath of the dragon's devastating fury.,Original,PG-13
Galactic Peacekeepers: New Horizon,7.8,24,Sci-Fi/Action,4/23/2022,10/8/2022,Peacekeeper New Horizon,The Galactic Peacekeepers explore new horizons and face new threats.,Original,PG-13
The Donut Shop of Wonders,7.2,12,Comedy/Food,4/21/2023,Ongoing,Wonder Donuts,A donut shop where every donut has a magical surprise.,Original,G
Mysteries of the Haunted Museum,8.4,26,Mystery/Horror,10/19/2020,4/12/2021,Museum Dread,A group of security guards investigates strange occurrences in a haunted museum.,Original,PG-13
Street Symphony: Grand Finale,7.7,12,Music/Drama,7/24/2022,10/9/2022,Grand Finale Rhythms,"The street musicians prepare for their biggest performance yet, a grand finale.",Original,PG
The Ancient Code: Revelation,8.6,24,Mystery/Thriller,10/22/2023,Ongoing,Revelation Code Studio,The ancient code reveals a shocking revelation that changes everything.,Original,PG-13
Mech Force Zeta,8,48,Action/Mecha,4/19/2019,4/11/2020,Zeta Mech Division,A specialized mech unit known for its advanced weaponry and combat prowess.,Original,PG-13
The Culinary Quest,7.6,25,Comedy/Food,1/25/2022,7/19/2022,Quest for Flavor,A chef embarks on a quest to find the ultimate flavor combinations.,Original,G
The Enchanted Forest: Guardians,7,12,Slice of Life/Fantasy,7/21/2023,Ongoing,Forest Guardians Studio,A group of guardians protects the enchanted forest from external threats.,Original,G
Cosmic Odyssey,8.9,100,Sci-Fi/Space Opera,4/24/2017,4/15/2019,Odyssey Spacefarers,A long and perilous journey through the cosmos in search of a new home.,Original,PG
Blade of the Cosmos,8.2,39,Action/Fantasy,7/21/2021,4/20/2022,Cosmic Blade Studio,A warrior wields a blade imbued with the power of the cosmos.,Original,PG-13
The Nightmare Labyrinth,7.9,13,Supernatural/Horror,1/21/2022,4/15/2022,Labyrinth of Dread,A group of people are trapped in a constantly shifting labyrinth of nightmares.,Original,R
Volleyball Victory: Nationals,7.5,39,Sports/Drama,1/25/2021,10/18/2021,National Volley,The high school volleyball team competes in the national championship.,Manga,G
Crimson Prophecy: The End,8.4,24,Action/Supernatural,10/27/2022,4/13/2023,Prophecy End Studio,"The final battle to determine the fate of the world, as foretold by the prophecy.",Original,PG-13
The Magical Art Gallery,7.1,12,Slice of Life/Fantasy,4/20/2023,Ongoing,Enchanted Gallery Studio,An art gallery where the paintings come to life and tell stories.,Original,PG
Virtual Reality Chronicles: The Final Level,7.5,50,Adventure/Game,1/26/2021,1/11/2022,Final Level VR Studios,Players face the ultimate challenge in the final level of the virtual reality world.,Original,PG-13
Memories of the Future: The Choice,8.8,26,Drama/Sci-Fi,10/23/2019,4/15/2020,Choice of Future,A person with future memories must make a crucial choice that will shape destiny.,Original,PG
Starbound Sentinels: Andromeda,8,24,Sci-Fi/Action,1/28/2022,7/15/2022,Andromeda Guard,The Starbound Sentinels venture into the Andromeda galaxy to face a new threat.,Original,PG-13
The Coffee Bean Cafe,7.4,12,Comedy/Food,1/25/2023,Ongoing,Bean Bliss Cafe,The aromatic and bustling daily operations of a popular coffee bean cafe.,Original,G
Temporal Rift Agency,7.6,13,Sci-Fi/Action,7/27/2021,10/19/2021,Rift Agency,A secret agency tasked with dealing with dangerous temporal rifts.,Original,PG-13
Beast Master's Legacy: The Heir,8.5,36,Fantasy/Adventure,7/22/2020,4/14/2021,Heir of Beasts,A young heir to a beast master legacy must prove their worth.,Manga,PG
Melody of the Cosmos: Echoes,8.2,12,Romance/Music,4/27/2022,7/13/2022,Cosmic Echoes,The echoes of the cosmic melody continue to inspire love and connection.,Original,G
The Ancient Prophecies: Aftermath,8.7,24,Mystery/Fantasy,4/24/2023,Ongoing,Aftermath Prophecy Studio,The world deals with the aftermath of the fulfilled ancient prophecies.,Original,PG-13
Steel Sentinels: Rebirth,7.9,26,Action/Mecha,10/26/2021,4/18/2022,Sentinel Rebirth,The Steel Sentinels are reborn with new technology and renewed purpose.,Original,PG-13
Magical Flower Garden,7,12,Slice of Life/Fantasy,7/23/2023,Ongoing,Enchanted Garden Studio,A magical flower garden where flowers have unique personalities and abilities.,Original,G
The Lost City of Atlantis: The Return,8.6,50,Fantasy/Adventure,2/5/2019,12/31/2019,Atlantis Reborn Films,"Explorers return to the lost city of Atlantis, facing new challenges and discoveries.",Original,PG
Shadows of the Forgotten: Redemption,8.1,13,Horror/Drama,10/24/2022,1/16/2023,Redemption Shadows,"The lingering spirits seek redemption, bringing closure to their tragic past.",Original,R
Soccer Stars Unite: World Cup,7.5,39,Sports/Comedy,1/27/2021,10/20/2021,World Cup Hoops,The high school soccer team competes in a world cup tournament.,Manga,G
The Dream Weaver's Sanctuary: New Dreams,8.3,12,Slice of Life/Supernatural,1/29/2023,Ongoing,New Dreams Sanctuary,The dream weaver's sanctuary welcomes new individuals seeking help with their dreams.,Original,PG
Dragon's Fury: The Reckoning,9,75,Action/Drama,7/23/2018,4/6/2020,Reckoning Dragon Studios,"The final reckoning with the dragon's fury, determining the fate of the world.",Original,PG-13
Galactic Peacekeepers: The Alliance,7.8,24,Sci-Fi/Action,4/25/2022,10/10/2022,Peacekeeper Alliance,The Galactic Peacekeepers form an alliance with other forces to combat a common enemy.,Original,PG-13
The Burger Joint: Grill Masters,7.2,12,Comedy/Food,4/23/2023,Ongoing,Grill Masters Palace,The burger joint hosts a grill master competition.,Original,G
Mysteries of the Haunted Library,8.4,26,Mystery/Horror,10/21/2020,4/14/2021,Library Dread,A group of librarians investigates strange occurrences in a haunted library.,Original,PG-13
Street Symphony: World Tour,7.7,12,Music/Drama,7/26/2022,10/11/2022,World Tour Rhythms,"The street musicians embark on a world tour, sharing their music with new audiences.",Original,PG
The Ancient Code: Consequences,8.6,24,Mystery/Thriller,10/24/2023,Ongoing,Consequences Code Studio,The revelation of the ancient code leads to unforeseen consequences.,Original,PG-13
Mech Force Sigma,8,48,Action/Mecha,4/21/2019,4/13/2020,Sigma Mech Division,A specialized mech unit known for its strategic and tactical capabilities.,Original,PG-13
The Culinary School: Master Class,7.6,25,Comedy/Food,1/27/2022,7/21/2022,Master Class Culinary,Students at the culinary school participate in a master class with renowned chefs.,Original,G
The Enchanted Forest: New Beginnings,7,12,Slice of Life/Fantasy,7/23/2023,Ongoing,New Beginnings Forest,The enchanted forest welcomes new magical creatures and adventures.,Original,G
Cosmic Journeys: The Final Frontier,8.9,100,Sci-Fi/Adventure,4/26/2017,4/17/2019,Final Frontier Space,"The cosmic journey reaches its final frontier, with new discoveries and challenges.",Original,PG
